iso_code,continent,location,172020,country code,31122020,3152021
PRY,South America,Paraguay,2260,600,107932,355384
PER,South America,Peru,288477,604,1015137,1955469
PHL,Asia,Philippines,38511,608,474064,1230301
POL,Europe,Poland,34775,616,1294878,2872283
PRT,Europe,Portugal,42454,620,413678,849093
QAT,Asia,Qatar,97003,634,143834,217458
ROU,Europe,Romania,27296,642,632263,1077737
RUS,Europe,Russia,653479,643,3127347,5013512
RWA,Africa,Rwanda,1042,646,8383,26963
KNA,North America,Saint Kitts and Nevis,15,659,32,68
LCA,North America,Saint Lucia,19,662,353,5067
VCT,North America,Saint Vincent and the Grenadines,29,670,121,2035
WSM,Oceania,Samoa,0,685,2,3
SMR,Europe,San Marino,698,674,2428,5090
STP,Africa,Sao Tome and Principe,715,678,1014,2345
SAU,Asia,Saudi Arabia,194225,682,362741,450436
SEN,Africa,Senegal,6925,686,19140,41416
SRB,Europe,Serbia,14836,688,337923,712472
SYC,Africa,Seychelles,81,690,256,11621
SLE,Africa,Sierra Leone,1498,694,2611,4147
SGP,Asia,Singapore,44122,702,58599,62051
SVK,Europe,Slovakia,1687,703,179543,389721
SVN,Europe,Slovenia,1613,705,122152,253722
SLB,Oceania,Solomon Islands,0,677,17,20
SOM,Africa,Somalia,2924,090,4714,14662
ZAF,Africa,South Africa,159333,706,1057161,1665617
KOR,Asia,South Korea,12904,082,61769,140799
SSD,Africa,South Sudan,2021,728,3558,10688
ESP,Europe,Spain,249659,724,1928265,3678390
LKA,Asia,Sri Lanka,2054,144,43299,186364
SDN,Africa,Sudan,9500,736,25500,35495
SUR,South America,Suriname,535,740,6210,14954
SWE,Europe,Sweden,68608,752,437379,1068473
CHE,Europe,Switzerland,31851,756,452296,694740
SYR,Asia,Syria,293,760,11434,24495
TWN,Asia,Taiwan,447,158,799,8511
TJK,Asia,Tajikistan,6005,762,13296,13308
TZA,Africa,Tanzania,509,834,509,509
THA,Asia,Thailand,3173,764,7163,159792
TLS,Asia,Timor,24,626,44,6994
TGO,Africa,Togo,661,768,3633,13466
TTO,North America,Trinidad and Tobago,130,780,7150,23909
TUN,Africa,Tunisia,1175,788,139140,345474
TUR,Asia,Turkey,201098,792,2208652,5249404
UGA,Africa,Uganda,893,800,35216,47147
UKR,Europe,Ukraine,45924,804,1086997,2260899
ARE,Asia,United Arab Emirates,49069,784,207822,570836
GBR,Europe,United Kingdom,285279,826,2496235,4503231
USA,North America,United States,2694053,840,20100244,33267507
URY,South America,Uruguay,943,858,19119,294503
UZB,Asia,Uzbekistan,8781,860,77060,100335
VUT,Oceania,Vanuatu,0,678,1,4
VAT,Europe,Vatican,12,379,27,27
VEN,South America,Venezuela,6062,862,113558,234165
VNM,Asia,Vietnam,355,704,1465,7432
YEM,Asia,Yemen,1190,887,2099,6742
ZMB,Africa,Zambia,1632,894,20725,95263
ZWE,Africa,Zimbabwe,605,716,13867,38961
